"cluster","gene","log2 fold change","p-value","Upper bound","Lower bound"
"5","IPCEF1",3.11331435652361,1.59360639212365e-08,10.4583181296813,2.20652376724489
"5","CPNE5",9.58175389337852,1.97708140230513e-07,10.4280917767053,8.97722683385936
"5","CPNE4",9.52130118742661,1.97905094491706e-07,10.2467336588496,8.8865477749315
"5","PTER",9.49107483445062,2.36435086415667e-07,10.2467336588496,4.17123671068213
"5","CHN1",1.48109129582191,1.05192579461082e-06,1.93448659046127,1.02769600118255
"5","HTR2A",10.1862809528976,1.05192579461082e-06,10.639676247537,2.72037176783617
"5","KCNK1",2.69014541486021,2.27426303122735e-06,3.38535153330724,1.57177035474979
"5","ZFHX4",-10.1560545999217,9.34540026681354e-06,-9.46084848147469,-10.3676390707534
"5","FOXP2",9.70265930528234,1.29648508544657e-05,10.5187708356332,8.70518965707573
"5","CAMKK1",9.49107483445062,1.69510329581112e-05,10.1862809528976,8.76564236302767
"5","CHD7",-10.1560545999217,1.83881275460242e-05,-9.37016942254679,-10.3374127177775
"5","CCDC3",9.52130118742661,2.73714914845817e-05,10.2769600118255,8.85632142195554
"6","SATB2",-9.61198024635447,3.54773792952136e-10,-9.18881130469106,-10.1560545999217
"6","NEUROD6",-9.37016942254679,3.54773792952136e-10,-8.91677412790745,-9.97469648206594
"6","RNF182",-9.09813224576319,3.54773792952136e-10,-8.5842842451719,-9.82356471718617
"6","TMEM98",-8.94700048088341,3.54773792952136e-10,-8.28202071541234,-9.55152754040256
"6","GAD2",1.60199670772574,3.54773792952136e-10,9.30971671659488,1.14860141308638
"6","GABRA1",1.6322230607017,3.54773792952136e-10,2.08561835534106,1.14860141308638
"6","NRIP3",1.66244941367766,3.54773792952136e-10,2.29720282617276,1.26950682499021
"6","GAD1",1.75312847260553,3.54773792952136e-10,2.14607106129298,1.39041223689404
"6","SYNPR",1.90426023748532,3.54773792952136e-10,2.32742917914872,1.29973317796617
"6","IGF1",2.41810823807659,3.54773792952136e-10,3.23421976842744,1.39041223689404
"6","KCNC2",2.44833459105255,3.54773792952136e-10,9.49107483445062,1.32995953094213
"6","KMO",8.97722683385936,3.54773792952136e-10,9.30971671659488,8.40292612731617
"6","NECAB2",9.1585849517151,3.54773792952136e-10,9.76311201123425,8.5842842451719
"6","PNOC",9.21903765766701,3.54773792952136e-10,9.55152754040256,8.55405789219595
"6","SLC10A4",9.30971671659488,3.54773792952136e-10,9.61198024635447,8.64473695112381
"6","PCP4L1",9.33994306957084,3.54773792952136e-10,9.76311201123425,8.91677412790745
"6","VWC2",9.33994306957084,3.54773792952136e-10,9.7328856582583,8.76564236302767
"6","ZMAT4",9.4306221284987,3.54773792952136e-10,9.7328856582583,1.90426023748532
"6","OPRK1",9.7328856582583,3.54773792952136e-10,10.0049228350419,2.14607106129298
"6","CALB2",9.85379107016212,3.54773792952136e-10,10.1258282469457,1.72290211962957
"7","FGF12",-10.7303553064649,7.31140737460814e-11,-10.0956018939698,-11.2442033070562
"7","SCG5",-10.7303553064649,7.31140737460814e-11,-10.3071863648015,-11.0930715421764
"7","CXADR",-10.669902600513,7.31140737460814e-11,-10.0956018939698,-11.2442033070562
"7","STMN2",-10.639676247537,7.31140737460814e-11,-10.1258282469457,-11.1535242481283
"7","GNAI1",-10.3978654237294,7.31140737460814e-11,-9.88401742313808,-10.6094498945611
"7","DCX",-10.3676390707534,7.31140737460814e-11,-9.70265930528234,-10.7001289534889
"7","HDAC9",-10.3676390707534,7.31140737460814e-11,-9.76311201123425,-10.5489971886091
"7","SOX11",-10.3071863648015,7.31140737460814e-11,-9.76311201123425,-10.6094498945611
"7","MTSS1",-10.2769600118255,7.31140737460814e-11,-9.82356471718617,-10.8814870713447
"7","NRIP3",-10.2769600118255,7.31140737460814e-11,-9.55152754040256,-10.4583181296813
"7","GFAP",10.2467336588496,7.31140737460814e-11,10.5792235415851,9.21903765766701
"7","MT1E",10.2769600118255,7.31140737460814e-11,10.4885444826572,9.85379107016212
"7","SDC4",10.2769600118255,7.31140737460814e-11,10.5489971886091,9.7328856582583
"7","FGFR3",10.3071863648015,7.31140737460814e-11,10.5792235415851,4.11078400473022
"7","MGST1",10.3978654237294,7.31140737460814e-11,10.639676247537,3.38535153330724
"7","SLC25A18",10.3978654237294,7.31140737460814e-11,10.639676247537,3.11331435652361
"7","AGT",10.4583181296813,7.31140737460814e-11,10.7001289534889,2.75059812081213
"7","RANBP3L",10.4583181296813,7.31140737460814e-11,10.7605816594408,3.77829412199467
"7","SLC39A12",10.4583181296813,7.31140737460814e-11,10.7303553064649,9.88401742313808
"7","GJB6",10.5187708356332,7.31140737460814e-11,10.7605816594408,5.28961177079257
"8","EMP1",10.4280917767053,1.37562542475684e-09,10.9419397772966,3.65738871009084
"8","MSX1",10.4885444826572,1.37562542475684e-09,11.0326188362245,9.40039577552275
"8","ITIH5",10.5187708356332,1.37562542475684e-09,11.0628451892004,9.52130118742661
"8","IFI44L",10.6094498945611,1.37562542475684e-09,11.1535242481283,9.37016942254679
"8","ANXA1",10.8210343653927,1.37562542475684e-09,11.4557877778879,9.79333836421021
"8","APOLD1",10.9117134243206,1.37562542475684e-09,11.5766931897917,10.2165073058736
"8","TM4SF1",11.3046560130081,1.37562542475684e-09,11.7882776606234,10.0049228350419
"8","IFITM1",11.4557877778879,1.37562542475684e-09,11.9394094255032,10.7303553064649
"8","CEBPD",10.1258282469457,2.04810442860291e-08,10.669902600513,9.21903765766701
"8","KLF4",2.38788188510064,2.46840397471524e-08,3.02263529759574,1.78335482558149
"8","MAFF",10.0956018939698,2.46840397471524e-08,10.6094498945611,3.77829412199467
"8","IFITM3",2.38788188510064,5.34185353948862e-08,3.02263529759574,1.69267576665362
"8","ITM2A",2.56924000295638,8.26174172521355e-08,3.23421976842744,1.90426023748532
"8","IFI27",10.669902600513,3.35457780632613e-07,11.3953350719359,9.40039577552275
